hamming_distance,strict_threshold_match,split_pair,class_name,path_a,path_b,leaf_id_a,leaf_id_b,involves_unmapped_leaf
2,True,test--train,Corn_(maize)___Northern_Leaf_Blight,train\Corn_(maize)___Northern_Leaf_Blight\83327a8d-9bfd-49d6-9fc9-bc065a379bce___RS_NLB 4044 copy 2.jpg,train\Corn_(maize)___Northern_Leaf_Blight\b7ec2193-2a49-43b9-9962-7a13d472e668___RS_NLB 4044.JPG,,,True
2,True,test--train,Peach___Bacterial_spot,train\Peach___Bacterial_spot\4fd4fd59-b5ad-4ff5-9c3b-3d5c74a23361___Rut._Bact.S 0767.JPG,train\Peach___Bacterial_spot\50e07867-1835-4031-9752-b5c62bb94f12___Rut._Bact.S 1277.JPG,Peach___Bacterial_spot:::5.0,Peach___Bacterial_spot:::90.0,False
2,True,test--train,Tomato___Septoria_leaf_spot,train\Tomato___Septoria_leaf_spot\a11dad0c-2ed0-4d57-bd0b-0b19a0d7f17c___Matt.S_CG 2622.JPG,train\Tomato___Septoria_leaf_spot\17e3282e-f327-4245-95b1-a4fee7b33838___Matt.S_CG 2619.JPG,Tomato___Septoria_leaf_spot:::88.0,Tomato___Septoria_leaf_spot:::87.0,False
2,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\fcdfc17c-1a1b-48df-8612-740f3a50fcbd___UF.GRC_YLCV_Lab 01892.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1240c7a7-a64a-4659-8849-5451c205208d___UF.GRC_YLCV_Lab 01888.JPG,,,True
3,True,test--train,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\bfc23629-c9cd-4c81-b6b0-d11f07dbc204___CREC_HLB 7824.JPG,train\Orange___Haunglongbing_(Citrus_greening)\26680011-8f2c-4099-b7ff-574a349d1146___CREC_HLB 7242.JPG,Orange___Haunglongbing_(Citrus_greening):::OCT_815.0,Orange___Haunglongbing_(Citrus_greening):::OCT_671.0,False
3,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\46476c84-3651-4706-af74-ccda9fb43719___UF.GRC_YLCV_Lab 08496.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\c91b0581-41e8-48a5-9807-842ee3ba12ef___UF.GRC_YLCV_Lab 08495.JPG,,,True
3,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\7c215f7a-4aaf-4461-a727-7e4777daa562___UF.GRC_YLCV_Lab 01624.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\2ed63cde-c59e-45df-a38b-ee87197908bb___UF.GRC_YLCV_Lab 01623.JPG,,,True
3,True,test--validation,Tomato___Late_blight,train\Tomato___Late_blight\cebd5337-bb61-4454-93da-bba4169f0802___GHLB2 Leaf 145.JPG,train\Tomato___Late_blight\16e4a1f9-21c2-4c1a-bdbc-1336da74ba2c___GHLB2 Leaf 145.3.JPG,,,True
3,True,train--validation,Corn_(maize)___healthy,val\Corn_(maize)___healthy\f73f38b8-0938-44f2-a229-6baa3114fe40___R.S_HL 0630 copy 3.jpg,train\Corn_(maize)___healthy\d2eeaaf5-97f6-4fc0-a2b5-09e98e483648___R.S_HL 0630 copy.jpg,,,True
3,True,train--validation,Tomato___Late_blight,train\Tomato___Late_blight\bf0b58c2-1d95-4f37-80ea-1bcd82e9c59b___GHLB2 Leaf 145.4.JPG,train\Tomato___Late_blight\16e4a1f9-21c2-4c1a-bdbc-1336da74ba2c___GHLB2 Leaf 145.3.JPG,,,True
