hamming_distance,strict_threshold_match,split_pair,class_name,path_a,path_b,leaf_id_a,leaf_id_b,involves_unmapped_leaf,embedding_cosine,gray_pixel_correlation,rgb_mae,pixel_review_flag,embedding_review_flag,manual_review_priority
2,True,test--train,Corn_(maize)___Northern_Leaf_Blight,train\Corn_(maize)___Northern_Leaf_Blight\83327a8d-9bfd-49d6-9fc9-bc065a379bce___RS_NLB 4044 copy 2.jpg,train\Corn_(maize)___Northern_Leaf_Blight\b7ec2193-2a49-43b9-9962-7a13d472e668___RS_NLB 4044.JPG,,,True,0.9839990139007568,0.8966680922402984,0.04249368980526924,False,False,True
3,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\7c215f7a-4aaf-4461-a727-7e4777daa562___UF.GRC_YLCV_Lab 01624.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\2ed63cde-c59e-45df-a38b-ee87197908bb___UF.GRC_YLCV_Lab 01623.JPG,,,True,0.9727351069450378,0.7955706692269178,0.055408377200365067,False,False,True
4,True,test--train,Corn_(maize)___Northern_Leaf_Blight,train\Corn_(maize)___Northern_Leaf_Blight\9943cc83-f708-487b-b45e-a9ac23ee3973___RS_NLB 4045.JPG,train\Corn_(maize)___Northern_Leaf_Blight\3513a96e-7db5-4a2b-9dd8-79847c92e75b___RS_NLB 4045 copy 2.jpg,,,True,0.9717992544174194,0.7710047118606593,0.05468474701046944,False,False,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\89f4ab7d-764f-4df5-b244-51c50ce68836___UF.GRC_YLCV_Lab 01460.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\a193e214-3a19-410d-8467-63eafff67aea___UF.GRC_YLCV_Lab 01457.JPG,,,True,0.9676259756088257,0.7809819219142914,0.04020942747592926,False,False,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\b379ab04-3780-4283-b388-2a038b773d79___UF.GRC_YLCV_Lab 01389.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\19ead445-c37c-4a22-b3fb-02510e66b553___UF.GRC_YLCV_Lab 01388.JPG,,,True,0.9675523638725281,0.937154563646097,0.04263881966471672,False,False,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\180ef991-3ed2-41d8-93b6-c1791d745669___UF.GRC_YLCV_Lab 01678.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f390848d-e427-4c8e-8e93-0772e9f91fc8___UF.GRC_YLCV_Lab 01668.JPG,,,True,0.9661014080047607,0.7972977808027483,0.08401777595281601,False,False,True
3,True,train--validation,Corn_(maize)___healthy,val\Corn_(maize)___healthy\f73f38b8-0938-44f2-a229-6baa3114fe40___R.S_HL 0630 copy 3.jpg,train\Corn_(maize)___healthy\d2eeaaf5-97f6-4fc0-a2b5-09e98e483648___R.S_HL 0630 copy.jpg,,,True,0.9641521573066711,0.6962075561921338,0.10113555192947388,False,False,True
3,True,train--validation,Tomato___healthy,train\Tomato___healthy\16c1b712-2c55-4a8d-899f-cc0e725d4835___GH_HL Leaf 314.JPG,train\Tomato___healthy\264a08a7-74a4-4492-aff1-8a3ab8b35c46___GH_HL Leaf 314.1.JPG,,,True,0.9611949324607849,0.4701667010500812,0.1194484755396843,False,False,True
4,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\08f78a80-46f5-45a6-937c-4d05d61c08c2___UF.GRC_YLCV_Lab 01895.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1240c7a7-a64a-4659-8849-5451c205208d___UF.GRC_YLCV_Lab 01888.JPG,,,True,0.9557805061340332,0.43513672004122894,0.1235223114490509,False,False,True
2,True,test--train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\fcdfc17c-1a1b-48df-8612-740f3a50fcbd___UF.GRC_YLCV_Lab 01892.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1240c7a7-a64a-4659-8849-5451c205208d___UF.GRC_YLCV_Lab 01888.JPG,,,True,0.9515489935874939,0.5401046644024367,0.10698926448822021,False,False,True
