bin,lower,upper,count,mean_confidence,accuracy,gap
0,0.0,0.06666666666666667,0,,,
1,0.06666666666666667,0.13333333333333333,0,,,
2,0.13333333333333333,0.2,0,,,
3,0.2,0.26666666666666666,0,,,
4,0.26666666666666666,0.3333333333333333,2,0.3282323479652405,1.0,0.6717676520347595
5,0.3333333333333333,0.4,3,0.3593180179595947,0.3333333333333333,0.02598468462626141
6,0.4,0.4666666666666667,3,0.41556110978126526,0.6666666666666666,0.25110555688540137
7,0.4666666666666667,0.5333333333333333,19,0.504509449005127,0.5789473684210527,0.0744379194159257
8,0.5333333333333333,0.6,19,0.5680344104766846,0.5263157894736842,0.04171862100300039
9,0.6,0.6666666666666666,25,0.6338682770729065,0.84,0.20613172292709347
10,0.6666666666666666,0.7333333333333333,30,0.694351851940155,0.5666666666666667,0.12768518527348838
11,0.7333333333333333,0.8,47,0.7706543207168579,0.6382978723404256,0.13235644837643235
12,0.8,0.8666666666666667,46,0.8314205408096313,0.782608695652174,0.0488118451574574
13,0.8666666666666667,0.9333333333333333,98,0.9041630625724792,0.8775510204081632,0.026612042164316008
14,0.9333333333333333,1.0,10417,0.9987270832061768,0.997120092157051,0.001606991049125761
