relative_path,true_index,true_class,predicted_index,predicted_class,confidence,true_class_probability,correct
val\Corn_(maize)___Common_rust_\RS_Rust 1949.JPG,8,Corn_(maize)___Common_rust_,9,Corn_(maize)___Northern_Leaf_Blight,0.9998703,5.265801e-05,False
train\Tomato___Early_blight\5ac54e63-40a4-4651-a900-fd3ab4d32bae___RS_Erly.B 7727.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.999739,0.0001353715,False
train\Tomato___Septoria_leaf_spot\8aad671a-ce18-4cdb-9744-63eb859d40b7___Matt.S_CG 7650.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.9991561,0.0005145935,False
val\Potato___Late_blight\93d91b96-e024-477c-9b76-796e3f1614d4___RS_LB 3297.JPG,21,Potato___Late_blight,30,Tomato___Late_blight,0.99896145,0.00047677328,False
train\Tomato___Septoria_leaf_spot\b36baca9-7ebc-4abc-b0fd-a05871925c6e___Matt.S_CG 7725.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.9983365,0.0015791261,False
train\Tomato___Early_blight\c5ab9d87-f1bf-4fce-8133-c80ac2d52dd5___RS_Erly.B 7849.JPG,29,Tomato___Early_blight,32,Tomato___Septoria_leaf_spot,0.99737537,0.00083540904,False
train\Tomato___Septoria_leaf_spot\ba5de483-365d-4a7c-8340-bf3ca0923a5e___Keller.St_CG 1861.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.9970697,0.0018492527,False
train\Potato___Late_blight\93935af4-3aae-4dd6-90d9-fb28e439faf0___RS_LB 3299.JPG,21,Potato___Late_blight,30,Tomato___Late_blight,0.9964881,0.0003291019,False
train\Corn_(maize)___Northern_Leaf_Blight\ba2884c9-c118-441a-8095-9a287f8a865d___RS_NLB 3954 copy.jpg,9,Corn_(maize)___Northern_Leaf_Blight,30,Tomato___Late_blight,0.9938181,0.004711431,False
train\Tomato___Early_blight\b24f8f98-4bfe-4605-85f5-738fc09e58fe___RS_Erly.B 6406.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.99297065,0.0050750375,False
train\Potato___Late_blight\2565077d-44d3-4213-82c2-bf5ae9a64368___RS_LB 3295.JPG,21,Potato___Late_blight,30,Tomato___Late_blight,0.99271166,0.007148099,False
val\Tomato___Target_Spot\9a2e5ed6-a441-4d2b-8d50-fd44c1fde6dc___Com.G_TgS_FL 1110.JPG,34,Tomato___Target_Spot,33,Tomato___Spider_mites Two-spotted_spider_mite,0.9916047,0.008250403,False
val\Corn_(maize)___Northern_Leaf_Blight\78d28bb5-2b07-42eb-aff8-d205eaf38fc9___RS_NLB 3967.JPG,9,Corn_(maize)___Northern_Leaf_Blight,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9908043,0.0091249915,False
train\Potato___Late_blight\8b0ef54c-6d28-47bb-a657-287afbb8a620___RS_LB 3298.JPG,21,Potato___Late_blight,30,Tomato___Late_blight,0.99031174,0.009670824,False
train\Tomato___Septoria_leaf_spot\a0337427-9957-4062-a0e4-e0a3d21e5574___Matt.S_CG 7478.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.9871229,0.012572518,False
val\Tomato___Septoria_leaf_spot\ebccf4e1-f615-4812-a572-b3d9adddcf91___Matt.S_CG 7467.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.98411083,0.015721353,False
train\Corn_(maize)___Northern_Leaf_Blight\15803dee-8071-49f1-81b6-fd3dedbc1c58___RS_NLB 4020 copy.jpg,9,Corn_(maize)___Northern_Leaf_Blight,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.97854996,0.02095384,False
train\Tomato___Septoria_leaf_spot\972264b7-6644-4e88-b1a7-fac8a1d4e139___Matt.S_CG 7649.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.97746104,0.022107037,False
train\Tomato___Bacterial_spot\7bd0f0c4-082e-4da4-ade1-a1d79637949c___GCREC_Bact.Sp 3664.JPG,28,Tomato___Bacterial_spot,32,Tomato___Septoria_leaf_spot,0.9768151,0.018048933,False
train\Corn_(maize)___Northern_Leaf_Blight\1bc4fef1-35f3-40da-9675-8b6a986839a1___RS_NLB 3791.JPG,9,Corn_(maize)___Northern_Leaf_Blight,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.97450054,0.02507243,False
val\Potato___healthy\111cd9d8-4d27-4225-be9e-d29b21cf56b9___RS_HL 5419.JPG,22,Potato___healthy,24,Soybean___healthy,0.97367597,0.025445713,False
train\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\629273b6-9eaa-4084-b72b-ac856a9ef899___RS_GLSp 4636.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,9,Corn_(maize)___Northern_Leaf_Blight,0.9729264,0.024837129,False
train\Corn_(maize)___Northern_Leaf_Blight\c4eb96b2-1345-46d0-a796-161042da21df___RS_NLB 0824 copy.jpg,9,Corn_(maize)___Northern_Leaf_Blight,10,Corn_(maize)___healthy,0.9625344,0.0016270317,False
val\Soybean___healthy\b32e4516-9cd7-4226-be52-26f413c97834___RS_HL 3512.JPG,24,Soybean___healthy,10,Corn_(maize)___healthy,0.9525182,0.0022884146,False
val\Tomato___Septoria_leaf_spot\9580a3c7-f614-4f5c-b660-8b9525865917___Keller.St_CG 1858.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.9493301,0.021979969,False
train\Tomato___Septoria_leaf_spot\0c48052c-232b-4ea7-b77d-322f5f642612___Matt.S_CG 7724.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.9483932,0.051254347,False
"train\Pepper,_bell___Bacterial_spot\28462e1b-741c-4949-884f-e5c35375dab4___JR_B.Spot 3111.JPG",18,"Pepper,_bell___Bacterial_spot",15,Orange___Haunglongbing_(Citrus_greening),0.9455802,0.043967,False
train\Tomato___Early_blight\00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.JPG,29,Tomato___Early_blight,34,Tomato___Target_Spot,0.94449216,0.027860498,False
train\Tomato___Septoria_leaf_spot\cd3b1a93-f5b4-406f-aa8a-640280edf543___Keller.St_CG 1860.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.9425346,0.004343541,False
train\Tomato___Septoria_leaf_spot\53d795c2-0784-4d1e-b475-a54dd3e5a6a1___Matt.S_CG 7479.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.93762887,0.062328372,False
train\Tomato___Early_blight\1bdb9ab4-1a7a-449a-b848-c446d7615d42___RS_Erly.B 8443.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.93003523,0.033612903,False
val\Tomato___Septoria_leaf_spot\fbbb8eca-408d-476e-b9a0-b0162f66506c___Matt.S_CG 7728.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.92784166,0.058167685,False
train\Raspberry___healthy\2acf2191-96db-4afa-bcdf-77590e0b7428___Mary_HL 6233.JPG,23,Raspberry___healthy,6,Cherry_(including_sour)___healthy,0.9276033,0.07237225,False
train\Tomato___Early_blight\89e7a492-7347-4659-ac0b-2df664ed4c80___RS_Erly.B 8438.JPG,29,Tomato___Early_blight,32,Tomato___Septoria_leaf_spot,0.9261808,0.01295573,False
train\Tomato___Tomato_mosaic_virus\01b32f27-2b9b-4961-805b-8066bf4d90f1___PSU_CG 2417.JPG,36,Tomato___Tomato_mosaic_virus,32,Tomato___Septoria_leaf_spot,0.9197494,0.0010417459,False
train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8f673fbe-f75c-44b3-aa36-2bdfe5992350___UF.GRC_YLCV_Lab 08573.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,28,Tomato___Bacterial_spot,0.91923445,0.075898774,False
train\Apple___Apple_scab\5e96dd82-f2d2-4a19-a9cd-46165d6623f9___FREC_Scab 3218.JPG,0,Apple___Apple_scab,30,Tomato___Late_blight,0.90884876,0.08928792,False
train\Tomato___Septoria_leaf_spot\224c7002-2660-42fb-9be0-f55f7fa49e14___Matt.S_CG 7647.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.9037808,0.09563062,False
train\Tomato___Early_blight\29fb6588-a368-4143-9cdd-8a131f0d50f4___RS_Erly.B 7779.JPG,29,Tomato___Early_blight,34,Tomato___Target_Spot,0.8893481,0.008331792,False
train\Tomato___Septoria_leaf_spot\31aa2d68-efd3-4b8a-a320-1ebb2dc7a4dd___Matt.S_CG 7571.JPG,32,Tomato___Septoria_leaf_spot,30,Tomato___Late_blight,0.88089925,0.11265191,False
train\Tomato___Septoria_leaf_spot\9bfa2e5e-1457-49c6-96db-cc6b4a5f4d74___Matt.S_CG 7457.JPG,32,Tomato___Septoria_leaf_spot,18,"Pepper,_bell___Bacterial_spot",0.87271345,0.059505004,False
train\Tomato___Early_blight\5390d8c0-5781-47cf-8d0a-482e000a01f3___RS_Erly.B 7400.JPG,29,Tomato___Early_blight,0,Apple___Apple_scab,0.8689727,0.085037544,False
val\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\a401fce7-28ad-4d2f-bf98-3ef87ae65ba5___RS_GLSp 4614.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,9,Corn_(maize)___Northern_Leaf_Blight,0.85551715,0.14409259,False
train\Tomato___Target_Spot\90939ea0-9f49-4b33-be99-8a36bd719b94___Com.G_TgS_FL 7918.JPG,34,Tomato___Target_Spot,30,Tomato___Late_blight,0.85400593,0.016617976,False
train\Tomato___Early_blight\d44e75f7-59ac-4296-ac62-893125ddf04e___RS_Erly.B 7856.JPG,29,Tomato___Early_blight,30,Tomato___Late_blight,0.84972394,0.10168346,False
