bin,lower,upper,count,mean_confidence,accuracy,gap
0,0.0,0.06666666666666667,0,,,
1,0.06666666666666667,0.13333333333333333,0,,,
2,0.13333333333333333,0.2,0,,,
3,0.2,0.26666666666666666,0,,,
4,0.26666666666666666,0.3333333333333333,0,,,
5,0.3333333333333333,0.4,2,0.3779655694961548,0.5,0.12203443050384521
6,0.4,0.4666666666666667,11,0.43286123871803284,0.2727272727272727,0.16013396599076013
7,0.4666666666666667,0.5333333333333333,100,0.509476900100708,0.72,0.21052309989929197
8,0.5333333333333333,0.6,75,0.5664122104644775,0.8266666666666667,0.2602544562021891
9,0.6,0.6666666666666666,48,0.6345157623291016,0.9583333333333334,0.3238175710042318
10,0.6666666666666666,0.7333333333333333,57,0.7025014758110046,0.8596491228070176,0.1571476469960129
11,0.7333333333333333,0.8,61,0.7669296860694885,0.9344262295081968,0.16749654343870823
12,0.8,0.8666666666666667,95,0.8370645642280579,0.9157894736842105,0.07872490945615263
13,0.8666666666666667,0.9333333333333333,157,0.9023093581199646,0.9490445859872612,0.04673522786729656
14,0.9333333333333333,1.0,10103,0.9982612729072571,0.998812233989904,0.0005509610826469613
