class_index,class_name,precision,recall,f1,support,errors,error_rate
29,Tomato___Early_blight,1.0,0.8930232558139535,0.9434889434889435,215,23,0.10697674418604651
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9217391304347826,0.9906542056074766,0.954954954954955,107,1,0.009345794392523364
34,Tomato___Target_Spot,0.9581881533101045,0.9548611111111112,0.9565217391304348,288,13,0.04513888888888889
30,Tomato___Late_blight,0.9398496240601504,1.0,0.9689922480620154,375,0,0.0
9,Corn_(maize)___Northern_Leaf_Blight,0.9905660377358491,0.9545454545454546,0.9722222222222222,220,10,0.045454545454545456
32,Tomato___Septoria_leaf_spot,0.9597701149425287,0.9910979228486647,0.9751824817518249,337,3,0.008902077151335312
21,Potato___Late_blight,1.0,0.9575471698113207,0.9783132530120482,212,9,0.04245283018867924
6,Cherry_(including_sour)___healthy,0.9609375,1.0,0.9800796812749004,123,0,0.0
22,Potato___healthy,1.0,0.96875,0.9841269841269841,32,1,0.03125
23,Raspberry___healthy,1.0,0.9691358024691358,0.9843260188087775,162,5,0.030864197530864196
28,Tomato___Bacterial_spot,0.9818181818181818,0.9908256880733946,0.9863013698630136,436,4,0.009174311926605505
37,Tomato___healthy,0.9734513274336283,1.0,0.9865470852017937,330,0,0.0
33,Tomato___Spider_mites Two-spotted_spider_mite,0.9968354430379747,0.984375,0.9905660377358491,320,5,0.015625
17,Peach___healthy,1.0,0.9859154929577465,0.9929078014184397,71,1,0.014084507042253521
18,"Pepper,_bell___Bacterial_spot",1.0,0.9879518072289156,0.9939393939393939,166,2,0.012048192771084338
3,Apple___healthy,0.9964912280701754,0.993006993006993,0.9947460595446584,286,2,0.006993006993006993
26,Strawberry___Leaf_scorch,1.0,0.99,0.9949748743718593,200,2,0.01
10,Corn_(maize)___healthy,0.9920634920634921,1.0,0.9960159362549801,250,0,0.0
0,Apple___Apple_scab,0.9921875,1.0,0.996078431372549,127,0,0.0
19,"Pepper,_bell___healthy",0.9964664310954063,0.9964664310954063,0.9964664310954063,283,1,0.0035335689045936395
1,Apple___Black_rot,0.9931972789115646,1.0,0.9965870307167235,146,0,0.0
31,Tomato___Leaf_Mold,1.0,0.9941860465116279,0.9970845481049563,172,1,0.005813953488372093
8,Corn_(maize)___Common_rust_,1.0,0.9953917050691244,0.9976905311778291,217,1,0.004608294930875576
5,Cherry_(including_sour)___Powdery_mildew,1.0,0.9954337899543378,0.9977116704805492,219,1,0.0045662100456621
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9954545454545455,0.9977220956719818,1100,5,0.004545454545454545
12,Grape___Esca_(Black_Measles),0.9964912280701754,1.0,0.9982425307557118,284,0,0.0
24,Soybean___healthy,0.998972250770812,0.998972250770812,0.998972250770812,973,1,0.0010277492291880781
16,Peach___Bacterial_spot,1.0,0.9981549815498155,0.9990766389658357,542,1,0.0018450184501845018
2,Apple___Cedar_apple_rust,1.0,1.0,1.0,52,0,0.0
36,Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,66,0,0.0
27,Strawberry___healthy,1.0,1.0,1.0,80,0,0.0
14,Grape___healthy,1.0,1.0,1.0,100,0,0.0
20,Potato___Early_blight,1.0,1.0,1.0,164,0,0.0
11,Grape___Black_rot,1.0,1.0,1.0,168,0,0.0
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,204,0,0.0
4,Blueberry___healthy,1.0,1.0,1.0,324,0,0.0
25,Squash___Powdery_mildew,1.0,1.0,1.0,378,0,0.0
15,Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,980,0,0.0
