plantdoc_source_class,mapped_target_class,support,accuracy,errors
Apple Scab Leaf,Apple___Apple_scab,10,0.2,8
Apple leaf,Apple___healthy,9,0.2222222222222222,7
Apple rust leaf,Apple___Cedar_apple_rust,10,0.0,10
Bell_pepper leaf,"Pepper,_bell___healthy",8,0.5,4
Bell_pepper leaf spot,"Pepper,_bell___Bacterial_spot",9,0.2222222222222222,7
Blueberry leaf,Blueberry___healthy,11,0.45454545454545453,6
Cherry leaf,Cherry_(including_sour)___healthy,10,0.0,10
Corn Gray leaf spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,4,0.5,2
Corn leaf blight,Corn_(maize)___Northern_Leaf_Blight,12,0.25,9
Corn rust leaf,Corn_(maize)___Common_rust_,10,0.2,8
Peach leaf,Peach___healthy,9,0.1111111111111111,8
Potato leaf early blight,Potato___Early_blight,8,0.25,6
Potato leaf late blight,Potato___Late_blight,8,0.0,8
Raspberry leaf,Raspberry___healthy,7,0.5714285714285714,3
Soyabean leaf,Soybean___healthy,8,0.0,8
Squash Powdery mildew leaf,Squash___Powdery_mildew,6,0.8333333333333334,1
Strawberry leaf,Strawberry___healthy,8,0.0,8
Tomato Early blight leaf,Tomato___Early_blight,9,0.4444444444444444,5
Tomato Septoria leaf spot,Tomato___Septoria_leaf_spot,11,0.2727272727272727,8
Tomato leaf,Tomato___healthy,8,0.125,7
Tomato leaf bacterial spot,Tomato___Bacterial_spot,9,0.0,9
Tomato leaf late blight,Tomato___Late_blight,10,0.7,3
Tomato leaf mosaic virus,Tomato___Tomato_mosaic_virus,10,0.0,10
Tomato leaf yellow virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,6,0.0,6
Tomato mold leaf,Tomato___Leaf_Mold,6,0.0,6
grape leaf,Grape___healthy,12,0.4166666666666667,7
grape leaf black rot,Grape___Black_rot,8,0.625,3
