plantdoc_class,plantvillage_class,folder_present
Apple Scab Leaf,Apple___Apple_scab,True
Apple leaf,Apple___healthy,True
Apple rust leaf,Apple___Cedar_apple_rust,True
Bell_pepper leaf spot,"Pepper,_bell___Bacterial_spot",True
Bell_pepper leaf,"Pepper,_bell___healthy",True
Blueberry leaf,Blueberry___healthy,True
Cherry leaf,Cherry_(including_sour)___healthy,True
Corn Gray leaf spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,True
Corn leaf blight,Corn_(maize)___Northern_Leaf_Blight,True
Corn rust leaf,Corn_(maize)___Common_rust_,True
Peach leaf,Peach___healthy,True
Potato leaf early blight,Potato___Early_blight,True
Potato leaf late blight,Potato___Late_blight,True
Raspberry leaf,Raspberry___healthy,True
Soyabean leaf,Soybean___healthy,True
Squash Powdery mildew leaf,Squash___Powdery_mildew,True
Strawberry leaf,Strawberry___healthy,True
Tomato Early blight leaf,Tomato___Early_blight,True
Tomato Septoria leaf spot,Tomato___Septoria_leaf_spot,True
Tomato leaf bacterial spot,Tomato___Bacterial_spot,True
Tomato leaf late blight,Tomato___Late_blight,True
Tomato leaf mosaic virus,Tomato___Tomato_mosaic_virus,True
Tomato leaf yellow virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,True
Tomato leaf,Tomato___healthy,True
Tomato mold leaf,Tomato___Leaf_Mold,True
grape leaf black rot,Grape___Black_rot,True
grape leaf,Grape___healthy,True
