condition,model,accuracy,macro_f1,errors,accuracy_drop_pp
clean,EfficientNet-B0,0.9901017835465497,0.9873730688086694,106,0.0
clean,50/50 Ensemble,0.9914090951536091,0.989732611691459,92,0.0
brightness_0.60,EfficientNet-B0,0.9883275749369689,0.986492328072555,125,0.1774208609580774
brightness_0.60,50/50 Ensemble,0.9917826127556261,0.9901635931808946,88,-0.03735176020169817
brightness_1.40,EfficientNet-B0,0.9806704640956205,0.9740153346885898,207,0.9431319450929121
brightness_1.40,50/50 Ensemble,0.9873004015314222,0.9836532229144845,136,0.41086936221869097
contrast_0.60,EfficientNet-B0,0.9848725371183117,0.980599144885644,162,0.5229246428237966
contrast_0.60,50/50 Ensemble,0.9878606779344477,0.9848073278599895,130,0.3548417219161437
gaussian_blur_radius_2,EfficientNet-B0,0.8407881221402559,0.8433534280452053,1705,14.931366140629375
gaussian_blur_radius_2,50/50 Ensemble,0.8652535250723691,0.8669964601347865,1443,12.615557008124
jpeg_quality_30,EfficientNet-B0,0.9813241198991502,0.9736900000486196,200,0.8777663647399403
jpeg_quality_30,50/50 Ensemble,0.9872070221309179,0.9840421924782327,137,0.4202073022691155
rotation_15deg,EfficientNet-B0,0.9941170977682323,0.9927282660712615,63,-0.4015314221682664
rotation_15deg,50/50 Ensemble,0.9950508917732748,0.9940077182722803,53,-0.36417966196656826
center_occluded_60pct,EfficientNet-B0,0.5538332243906994,0.50218027409396,4778,43.626855915585026
center_occluded_60pct,50/50 Ensemble,0.644504622280325,0.594552369108536,3807,34.69044728732841
border_occluded_keep_center_60pct,EfficientNet-B0,0.5884769819777756,0.5338246820505855,4407,40.1624801568774
border_occluded_keep_center_60pct,50/50 Ensemble,0.7793444766084602,0.7467029490646366,2363,21.20646185451489
