hamming_distance,split_a,split_b,class_name,path_a,path_b
0,train,test,Apple___healthy,train\Apple___healthy\11beda66-01e9-4bfd-be37-c0f8646d1478___RS_HL 6271.JPG,val\Apple___healthy\13298d36-4425-437d-ae8e-c7d70e200084___RS_HL 6271.JPG
0,train,test,Apple___healthy,train\Apple___healthy\9b75de13-d4b0-4b3f-988c-3e9926eef957___RS_HL 6273.JPG,val\Apple___healthy\5192db55-4aa7-421c-92d4-c2dac79e7379___RS_HL 6273.JPG
0,train,test,Apple___healthy,train\Apple___healthy\acb21cc2-8d65-4880-a7bb-dcc1eab1564b___RS_HL 6272.JPG,val\Apple___healthy\3d075f90-7002-4c45-abc0-4f35ee49aa79___RS_HL 6272.JPG
0,train,test,Apple___healthy,train\Apple___healthy\ced4e27a-5eff-4190-a33a-cdc3d84c811e___RS_HL 6270.JPG,val\Apple___healthy\dc18b924-f172-445d-8fed-61445d437aaa___RS_HL 6270.JPG
0,train,test,Apple___healthy,train\Apple___healthy\f2cda910-55c7-46d7-b1a2-9a3bb9792148___RS_HL 6274.JPG,val\Apple___healthy\fdbfa6f7-f887-442d-8df1-1f0cf839fc4d___RS_HL 6274.JPG
0,train,validation,Blueberry___healthy,train\Blueberry___healthy\17f38da5-9764-456e-9c16-436ec1d69041___RS_HL 0590.JPG,val\Blueberry___healthy\fe4de3f6-ef8e-4e3f-b180-f8dd1c3d54cc___RS_HL 0591.JPG
0,train,validation,Tomato___Late_blight,train\Tomato___Late_blight\98586693-fe1f-4ea0-8e27-4501b61cf09b___GHLB_PS Leaf 23.5 Day 13.jpg,val\Tomato___Late_blight\c1775bad-7c02-41fb-bb7d-f8df91d60ac3___GHLB_PS Leaf 23.5 Day 13.jpg
0,train,validation,Tomato___Late_blight,train\Tomato___Late_blight\d6e6897a-5083-4914-9903-804c5684a956___GHLB2 Leaf 102.JPG,val\Tomato___Late_blight\d81682aa-746b-4e07-af2b-52ebb6f4c017___GHLB2 Leaf 102.JPG
0,train,validation,Tomato___Late_blight,train\Tomato___Late_blight\e20107e7-137f-400e-817f-5dc4c58e5d70___GHLB2 Leaf 8677.JPG,val\Tomato___Late_blight\5688ea99-c949-41d0-bbab-9cbf0ffb8bcd___GHLB2 Leaf 8677.JPG
0,train,test,Tomato___healthy,train\Tomato___healthy\34c81c57-e1fa-49dd-a49d-34fe8b2385fe___GH_HL Leaf 466.1.JPG,val\Tomato___healthy\068e324c-faf6-40d6-8f83-578907f1cac5___GH_HL Leaf 466.1.JPG
0,train,test,Tomato___healthy,train\Tomato___healthy\a5de43e7-fc2f-4a14-a8e6-c0f2f94c84f1___GH_HL Leaf 434.JPG,val\Tomato___healthy\488feb1c-4b9f-44e7-8aa6-4103a9601f5f___GH_HL Leaf 434.JPG
1,train,validation,Corn_(maize)___healthy,train\Corn_(maize)___healthy\94ca39a0-d4df-44c6-b5cc-a38a754506e5___R.S_HL 0601 copy 3.jpg,val\Corn_(maize)___healthy\8afc9635-c5e3-41be-aac0-74109d6112ed___R.S_HL 0601 copy 2.jpg
1,train,test,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\ce145bc2-c0fa-40b5-8622-38a7a88a1823___UF.GRC_YLCV_Lab 02441.JPG,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\61c03d35-853f-454b-8aff-7999536888a0___UF.GRC_YLCV_Lab 02448.JPG
2,train,test,Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\0e74a030-4b86-4c3f-8944-31e68d1911ba___JR_HL 4016.JPG,val\Cherry_(including_sour)___healthy\a52b26ec-29a5-4bb6-b3e4-f7599240e0d3___JR_HL 4021.JPG
2,train,test,Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\abecd8d1-a54e-45c5-9240-1380f5291cf9___JR_HL 4193.JPG,val\Cherry_(including_sour)___healthy\5c981717-3397-4a55-b2e4-13301e5d7b29___JR_HL 4195.JPG
2,validation,test,"Pepper,_bell___healthy","val\Pepper,_bell___healthy\1dab0ba9-9982-46ec-9ef6-70a1698baf04___JR_HL 8690.JPG","val\Pepper,_bell___healthy\d382a1c3-8bd6-4a24-a231-a99b61404e48___JR_HL 8692.JPG"
2,train,validation,Raspberry___healthy,train\Raspberry___healthy\21db22b7-4541-4ab5-aaad-707b22f09cb4___Mary_HL 9334.JPG,val\Raspberry___healthy\837ce07f-c8df-42c6-8b24-a6d93b6e60dc___Mary_HL 9332.JPG
2,train,test,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1240c7a7-a64a-4659-8849-5451c205208d___UF.GRC_YLCV_Lab 01888.JPG,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\fcdfc17c-1a1b-48df-8612-740f3a50fcbd___UF.GRC_YLCV_Lab 01892.JPG
3,validation,test,Blueberry___healthy,val\Blueberry___healthy\e86a7181-35c2-4228-b1bb-0d44fdde614b___RS_HL 5353.JPG,val\Blueberry___healthy\d0226900-7020-4d34-89ce-382b66c7982f___RS_HL 5363.JPG
3,train,validation,Cherry_(including_sour)___Powdery_mildew,train\Cherry_(including_sour)___Powdery_mildew\cf98e1fd-1f1b-4f21-b485-d37a7b594965___FREC_Pwd.M 0503.JPG,val\Cherry_(including_sour)___Powdery_mildew\2a4aa38d-38dc-4e3d-8584-e248d9f1349d___FREC_Pwd.M 0502.JPG
3,train,test,Corn_(maize)___Northern_Leaf_Blight,train\Corn_(maize)___Northern_Leaf_Blight\7a424cb3-7a0b-4ec7-9560-1f040db08639___RS_NLB 3963.JPG,val\Corn_(maize)___Northern_Leaf_Blight\674c432b-e349-45e5-9261-c04478409834___RS_NLB 3963 copy 2.jpg
3,train,validation,Corn_(maize)___healthy,train\Corn_(maize)___healthy\d2eeaaf5-97f6-4fc0-a2b5-09e98e483648___R.S_HL 0630 copy.jpg,val\Corn_(maize)___healthy\f73f38b8-0938-44f2-a229-6baa3114fe40___R.S_HL 0630 copy 3.jpg
3,train,test,Orange___Haunglongbing_(Citrus_greening),train\Orange___Haunglongbing_(Citrus_greening)\5002bb10-2c5b-4a78-9145-cec8206642e4___CREC_HLB 4099.JPG,val\Orange___Haunglongbing_(Citrus_greening)\5f79ac9c-0888-464b-ab57-5b826d7941a6___CREC_HLB 4565.JPG
3,validation,test,Orange___Haunglongbing_(Citrus_greening),val\Orange___Haunglongbing_(Citrus_greening)\dd0ae26e-4d1b-40de-b1b2-3018da0d8a00___UF.Citrus_HLB_Lab 1754.JPG,val\Orange___Haunglongbing_(Citrus_greening)\64f2fa26-4bfb-451b-83bb-d6e91eab3d5d___UF.Citrus_HLB_Lab 1755.JPG
3,train,test,Peach___Bacterial_spot,train\Peach___Bacterial_spot\9fda3bc0-49f8-4486-bc9e-93118af2c836___Rut._Bact.S 1329.JPG,val\Peach___Bacterial_spot\468388a5-ddd5-42e3-8e19-27cc95675f78___Rut._Bact.S 1376.JPG
3,train,validation,Raspberry___healthy,train\Raspberry___healthy\27ef7a65-771c-4eab-9169-03a5fa121c71___Mary_HL 9195.JPG,val\Raspberry___healthy\7626213e-3f4a-4551-b7f0-3c0915e267d9___Mary_HL 9196.JPG
