hamming_distance,removed_path,removed_split,protected_path,protected_split,reason
4,train\Blueberry___healthy\a0fef3ff-ee9a-4e33-a5e2-7c09e93a727d___RS_HL 4948.JPG,train,val\Blueberry___healthy\8373d4c7-1978-4ec0-ab79-fccfefba9917___RS_HL 0313.JPG,validation,strict_cross_split_dhash_quarantine
4,train\Corn_(maize)___Northern_Leaf_Blight\3513a96e-7db5-4a2b-9dd8-79847c92e75b___RS_NLB 4045 copy 2.jpg,train,train\Corn_(maize)___Northern_Leaf_Blight\9943cc83-f708-487b-b45e-a9ac23ee3973___RS_NLB 4045.JPG,test,strict_cross_split_dhash_quarantine
2,train\Corn_(maize)___Northern_Leaf_Blight\b7ec2193-2a49-43b9-9962-7a13d472e668___RS_NLB 4044.JPG,train,train\Corn_(maize)___Northern_Leaf_Blight\83327a8d-9bfd-49d6-9fc9-bc065a379bce___RS_NLB 4044 copy 2.jpg,test,strict_cross_split_dhash_quarantine
4,train\Grape___Esca_(Black_Measles)\49c6ee9e-8bc4-4187-82db-b9caba8bb168___FAM_B.Msls 1134.JPG,train,train\Grape___Esca_(Black_Measles)\ffc0847a-e88d-4332-8c7c-4b63ba65a471___FAM_B.Msls 1130.JPG,test,strict_cross_split_dhash_quarantine
4,train\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\9be77817-23c5-469e-8363-eb1d115f9bb0___FAM_L.Blight 1470.JPG,train,train\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\c08c3e56-4192-40a6-9b51-8733e642dafa___FAM_L.Blight 1422.JPG,test,strict_cross_split_dhash_quarantine
4,train\Grape___healthy\dcf0b467-3d86-49b9-991e-00f5b82465c7___Mt.N.V_HL 8935.JPG,train,train\Grape___healthy\94ff1dad-4284-4b83-ae37-988cc12c2006___Mt.N.V_HL 8939.JPG,test,strict_cross_split_dhash_quarantine
3,train\Orange___Haunglongbing_(Citrus_greening)\26680011-8f2c-4099-b7ff-574a349d1146___CREC_HLB 7242.JPG,train,train\Orange___Haunglongbing_(Citrus_greening)\bfc23629-c9cd-4c81-b6b0-d11f07dbc204___CREC_HLB 7824.JPG,test,strict_cross_split_dhash_quarantine
4,train\Orange___Haunglongbing_(Citrus_greening)\67c00966-9be7-4fea-a944-9e936837e3de___CREC_HLB 4766.JPG,train,train\Orange___Haunglongbing_(Citrus_greening)\11281e98-333a-4252-9e79-be353024a033___CREC_HLB 4776.JPG,test,strict_cross_split_dhash_quarantine
4,train\Orange___Haunglongbing_(Citrus_greening)\ba8af517-ae00-474e-b6a7-9b5031419cf4___CREC_HLB 4220.JPG,train,val\Orange___Haunglongbing_(Citrus_greening)\634f2182-7b79-4cd4-8272-316e26c2a855___CREC_HLB 4160.JPG,test,strict_cross_split_dhash_quarantine
2,train\Peach___Bacterial_spot\50e07867-1835-4031-9752-b5c62bb94f12___Rut._Bact.S 1277.JPG,train,train\Peach___Bacterial_spot\4fd4fd59-b5ad-4ff5-9c3b-3d5c74a23361___Rut._Bact.S 0767.JPG,test,strict_cross_split_dhash_quarantine
4,train\Peach___Bacterial_spot\640a41e4-32af-417b-8055-00012097725f___Rut._Bact.S 0856.JPG,train,train\Peach___Bacterial_spot\a2f81059-9171-41d2-acca-ef3d02d81438___Rut._Bact.S 1209.JPG,validation,strict_cross_split_dhash_quarantine
4,train\Peach___Bacterial_spot\a7b3c4d8-c94c-4cac-901b-fb6c9624e7a3___Rut._Bact.S 0970.JPG,train,train\Peach___Bacterial_spot\4fd4fd59-b5ad-4ff5-9c3b-3d5c74a23361___Rut._Bact.S 0767.JPG,test,strict_cross_split_dhash_quarantine
4,train\Peach___Bacterial_spot\bd21eadc-29b3-41a2-8754-5c561d3aff4a___Rut._Bact.S 1448.JPG,train,train\Peach___Bacterial_spot\a2524d53-667b-49d1-bda8-8515143b1293___Rutg._Bact.S 2300.JPG,test,strict_cross_split_dhash_quarantine
4,train\Peach___healthy\efa00530-b592-46d4-827a-1eb1a7498608___Rutg._HL 3619.JPG,train,train\Peach___healthy\aecb767a-7f12-4e1d-b411-6cc558777243___Rutg._HL 3573.JPG,test,strict_cross_split_dhash_quarantine
4,train\Soybean___healthy\2f99080a-2e4d-4d11-b658-8f60f64931cb___RS_HL 7161.JPG,train,val\Soybean___healthy\1920024b-9501-4176-bbca-456a07697894___RS_HL 3489.JPG,test,strict_cross_split_dhash_quarantine
4,train\Tomato___Late_blight\7f533ee8-1d72-486e-b2a6-b5ef2ac7cc88___GHLB2 Leaf 8837.JPG,train,train\Tomato___Late_blight\2159d0f7-09ef-46ad-ad49-749e8ce1becc___GHLB2 Leaf 8836.JPG,validation,strict_cross_split_dhash_quarantine
3,train\Tomato___Late_blight\bf0b58c2-1d95-4f37-80ea-1bcd82e9c59b___GHLB2 Leaf 145.4.JPG,train,train\Tomato___Late_blight\16e4a1f9-21c2-4c1a-bdbc-1336da74ba2c___GHLB2 Leaf 145.3.JPG,validation,strict_cross_split_dhash_quarantine
2,train\Tomato___Septoria_leaf_spot\17e3282e-f327-4245-95b1-a4fee7b33838___Matt.S_CG 2619.JPG,train,train\Tomato___Septoria_leaf_spot\a11dad0c-2ed0-4d57-bd0b-0b19a0d7f17c___Matt.S_CG 2622.JPG,test,strict_cross_split_dhash_quarantine
4,train\Tomato___Spider_mites Two-spotted_spider_mite\d83e3292-0be8-43b9-8215-4705a452a08a___Com.G_SpM_FL 1642.JPG,train,train\Tomato___Spider_mites Two-spotted_spider_mite\fa0f71aa-5583-4376-ab17-a755cf065aaf___Com.G_SpM_FL 1520.JPG,test,strict_cross_split_dhash_quarantine
4,train\Tomato___Spider_mites Two-spotted_spider_mite\fd71ebe5-4ce6-4b19-b71e-cb66b034c123___Com.G_SpM_FL 1282.JPG,train,train\Tomato___Spider_mites Two-spotted_spider_mite\fa0f71aa-5583-4376-ab17-a755cf065aaf___Com.G_SpM_FL 1520.JPG,test,strict_cross_split_dhash_quarantine
