class_name,train_count,val_count,total_count
Apple___Apple_scab,504,126,630
Apple___Black_rot,496,125,621
Apple___Cedar_apple_rust,220,55,275
Apple___healthy,1316,329,1645
Blueberry___healthy,1202,300,1502
Cherry_(including_sour)___Powdery_mildew,842,210,1052
Cherry_(including_sour)___healthy,684,170,854
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,410,103,513
Corn_(maize)___Common_rust_,953,239,1192
Corn_(maize)___Northern_Leaf_Blight,788,197,985
Corn_(maize)___healthy,929,233,1162
Grape___Black_rot,944,236,1180
Grape___Esca_(Black_Measles),1107,276,1383
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),861,215,1076
Grape___healthy,339,84,423
Orange___Haunglongbing_(Citrus_greening),4405,1102,5507
Peach___Bacterial_spot,1838,459,2297
Peach___healthy,288,72,360
"Pepper,_bell___Bacterial_spot",797,200,997
"Pepper,_bell___healthy",1183,295,1478
Potato___Early_blight,800,200,1000
Potato___Late_blight,800,200,1000
Potato___healthy,121,31,152
Raspberry___healthy,297,74,371
Soybean___healthy,4072,1018,5090
Squash___Powdery_mildew,1468,367,1835
Strawberry___Leaf_scorch,887,222,1109
Strawberry___healthy,364,92,456
Tomato___Bacterial_spot,1702,425,2127
Tomato___Early_blight,800,200,1000
Tomato___Late_blight,1527,382,1909
Tomato___Leaf_Mold,761,191,952
Tomato___Septoria_leaf_spot,1417,354,1771
Tomato___Spider_mites Two-spotted_spider_mite,1341,335,1676
Tomato___Target_Spot,1123,281,1404
Tomato___Tomato_Yellow_Leaf_Curl_Virus,4286,1071,5357
Tomato___Tomato_mosaic_virus,299,74,373
Tomato___healthy,1273,318,1591
