class_index,class_name,display_name,precision,recall,f1_score,support,roc_auc_ovr
0,Apple___Apple_scab,Apple - Apple scab,0.8852459016393442,0.8571428571428571,0.8709677419354839,63,0.9995268847727864
1,Apple___Black_rot,Apple - Black rot,0.9242424242424242,0.9838709677419355,0.953125,62,0.9999819753783669
2,Apple___Cedar_apple_rust,Apple - Cedar apple rust,1.0,0.8148148148148148,0.8979591836734694,27,1.0
3,Apple___healthy,Apple - healthy,0.9459459459459459,0.8484848484848485,0.8945686900958466,165,0.9959810793080827
4,Blueberry___healthy,Blueberry - healthy,0.9430379746835443,0.9933333333333333,0.9675324675324676,150,0.999991163289781
5,Cherry_(including_sour)___Powdery_mildew,Cherry (including sour) - Powdery mildew,1.0,0.9333333333333333,0.9655172413793104,105,0.9983423636071027
6,Cherry_(including_sour)___healthy,Cherry (including sour) - healthy,1.0,0.8470588235294118,0.9171974522292994,85,0.9987962412799014
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn (maize) - Cercospora leaf spot Gray leaf spot,0.8703703703703703,0.9215686274509803,0.8952380952380953,51,0.999176324805015
8,Corn_(maize)___Common_rust_,Corn (maize) - Common rust ,0.96,1.0,0.9795918367346939,120,0.9999937237180694
9,Corn_(maize)___Northern_Leaf_Blight,Corn (maize) - Northern Leaf Blight,0.945054945054945,0.8775510204081632,0.91005291005291,98,0.9989380713845636
10,Corn_(maize)___healthy,Corn (maize) - healthy,0.8111888111888111,1.0,0.8957528957528957,116,0.9999967560904403
11,Grape___Black_rot,Grape - Black rot,0.9901960784313726,0.8559322033898306,0.9181818181818182,118,0.998085922920116
12,Grape___Esca_(Black_Measles),Grape - Esca (Black Measles),0.9710144927536232,0.9710144927536232,0.9710144927536232,138,0.9999205951530187
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape - Leaf blight (Isariopsis Leaf Spot),0.8677685950413223,0.9813084112149533,0.9210526315789473,107,0.999601522290176
14,Grape___healthy,Grape - healthy,0.8125,0.9285714285714286,0.8666666666666667,42,0.9988380210128215
15,Orange___Haunglongbing_(Citrus_greening),Orange - Haunglongbing (Citrus greening),0.9889705882352942,0.9764065335753176,0.982648401826484,551,0.9998032638124423
16,Peach___Bacterial_spot,Peach - Bacterial spot,0.9336099585062241,0.9782608695652174,0.9554140127388535,230,0.9997358367538015
17,Peach___healthy,Peach - healthy,1.0,0.3888888888888889,0.56,36,0.9998867263927506
18,"Pepper,_bell___Bacterial_spot","Pepper, bell - Bacterial spot",0.8411214953271028,0.9,0.8695652173913043,100,0.9987600825361096
19,"Pepper,_bell___healthy","Pepper, bell - healthy",0.4417910447761194,1.0,0.6128364389233955,148,0.9993720296105304
20,Potato___Early_blight,Potato - Early blight,0.76,0.95,0.8444444444444444,100,0.9986888013505909
21,Potato___Late_blight,Potato - Late blight,0.9821428571428571,0.55,0.7051282051282052,100,0.9870324516976178
22,Potato___healthy,Potato - healthy,0.0,0.0,0.0,15,0.965054160512063
23,Raspberry___healthy,Raspberry - healthy,1.0,0.32432432432432434,0.4897959183673469,37,0.9939372075078415
24,Soybean___healthy,Soybean - healthy,0.8229342327150084,0.9587426326129665,0.8856624319419237,509,0.996814351027303
25,Squash___Powdery_mildew,Squash - Powdery mildew,0.8177777777777778,1.0,0.8997555012224939,184,0.9999741052858362
26,Strawberry___Leaf_scorch,Strawberry - Leaf scorch,0.9693877551020408,0.8558558558558559,0.9090909090909091,111,0.9998306577253947
27,Strawberry___healthy,Strawberry - healthy,0.8787878787878788,0.6304347826086957,0.7341772151898734,46,0.9983973194461265
28,Tomato___Bacterial_spot,Tomato - Bacterial spot,0.9693877551020408,0.892018779342723,0.9290953545232273,213,0.9989563032982616
29,Tomato___Early_blight,Tomato - Early blight,0.9052631578947369,0.86,0.882051282051282,100,0.9961114237478896
30,Tomato___Late_blight,Tomato - Late blight,0.9074074074074074,0.7696335078534031,0.8328611898016998,191,0.9923963870348907
31,Tomato___Leaf_Mold,Tomato - Leaf Mold,0.958904109589041,0.7368421052631579,0.8333333333333334,95,0.997137615402825
32,Tomato___Septoria_leaf_spot,Tomato - Septoria leaf spot,0.9248554913294798,0.903954802259887,0.9142857142857143,177,0.9982225003709846
33,Tomato___Spider_mites Two-spotted_spider_mite,Tomato - Spider mites Two-spotted spider mite,0.810126582278481,0.38095238095238093,0.5182186234817814,168,0.9895768301620478
34,Tomato___Target_Spot,Tomato - Target Spot,0.8705882352941177,0.524822695035461,0.6548672566371682,141,0.989731729879741
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato - Tomato Yellow Leaf Curl Virus,0.9797421731123389,0.9925373134328358,0.9860982391102873,536,0.9999477840623238
36,Tomato___Tomato_mosaic_virus,Tomato - Tomato mosaic virus,1.0,0.7297297297297297,0.84375,37,1.0
37,Tomato___healthy,Tomato - healthy,0.48214285714285715,0.5094339622641509,0.4954128440366973,159,0.9728636394002729
