true_index,true_class,predicted_index,predicted_class,count,true_class_error_rate
33,Tomato___Spider_mites Two-spotted_spider_mite,37,Tomato___healthy,50,0.2976190476190476
37,Tomato___healthy,19,"Pepper,_bell___healthy",40,0.25157232704402516
34,Tomato___Target_Spot,19,"Pepper,_bell___healthy",31,0.2198581560283688
21,Potato___Late_blight,24,Soybean___healthy,23,0.23
37,Tomato___healthy,10,Corn_(maize)___healthy,21,0.1320754716981132
30,Tomato___Late_blight,37,Tomato___healthy,18,0.09424083769633508
17,Peach___healthy,19,"Pepper,_bell___healthy",17,0.4722222222222222
33,Tomato___Spider_mites Two-spotted_spider_mite,19,"Pepper,_bell___healthy",17,0.10119047619047619
24,Soybean___healthy,19,"Pepper,_bell___healthy",17,0.03339882121807466
34,Tomato___Target_Spot,24,Soybean___healthy,13,0.09219858156028368
37,Tomato___healthy,24,Soybean___healthy,13,0.08176100628930817
33,Tomato___Spider_mites Two-spotted_spider_mite,24,Soybean___healthy,13,0.07738095238095238
23,Raspberry___healthy,24,Soybean___healthy,12,0.32432432432432434
26,Strawberry___Leaf_scorch,20,Potato___Early_blight,12,0.10810810810810811
22,Potato___healthy,19,"Pepper,_bell___healthy",11,0.7333333333333333
6,Cherry_(including_sour)___healthy,19,"Pepper,_bell___healthy",11,0.12941176470588237
31,Tomato___Leaf_Mold,33,Tomato___Spider_mites Two-spotted_spider_mite,11,0.11578947368421053
3,Apple___healthy,19,"Pepper,_bell___healthy",11,0.06666666666666667
27,Strawberry___healthy,19,"Pepper,_bell___healthy",9,0.1956521739130435
33,Tomato___Spider_mites Two-spotted_spider_mite,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,9,0.05357142857142857
27,Strawberry___healthy,25,Squash___Powdery_mildew,8,0.17391304347826086
9,Corn_(maize)___Northern_Leaf_Blight,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,7,0.07142857142857142
34,Tomato___Target_Spot,37,Tomato___healthy,7,0.04964539007092199
3,Apple___healthy,24,Soybean___healthy,7,0.04242424242424243
33,Tomato___Spider_mites Two-spotted_spider_mite,34,Tomato___Target_Spot,7,0.041666666666666664
30,Tomato___Late_blight,24,Soybean___healthy,7,0.03664921465968586
36,Tomato___Tomato_mosaic_virus,37,Tomato___healthy,6,0.16216216216216217
18,"Pepper,_bell___Bacterial_spot",19,"Pepper,_bell___healthy",6,0.06
21,Potato___Late_blight,20,Potato___Early_blight,6,0.06
29,Tomato___Early_blight,30,Tomato___Late_blight,6,0.06
34,Tomato___Target_Spot,18,"Pepper,_bell___Bacterial_spot",6,0.0425531914893617
32,Tomato___Septoria_leaf_spot,20,Potato___Early_blight,6,0.03389830508474576
28,Tomato___Bacterial_spot,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),6,0.028169014084507043
23,Raspberry___healthy,14,Grape___healthy,5,0.13513513513513514
11,Grape___Black_rot,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),5,0.0423728813559322
30,Tomato___Late_blight,18,"Pepper,_bell___Bacterial_spot",5,0.02617801047120419
28,Tomato___Bacterial_spot,24,Soybean___healthy,5,0.023474178403755867
22,Potato___healthy,24,Soybean___healthy,4,0.26666666666666666
21,Potato___Late_blight,19,"Pepper,_bell___healthy",4,0.04
21,Potato___Late_blight,25,Squash___Powdery_mildew,4,0.04
11,Grape___Black_rot,12,Grape___Esca_(Black_Measles),4,0.03389830508474576
37,Tomato___healthy,25,Squash___Powdery_mildew,4,0.025157232704402517
3,Apple___healthy,4,Blueberry___healthy,4,0.024242424242424242
33,Tomato___Spider_mites Two-spotted_spider_mite,15,Orange___Haunglongbing_(Citrus_greening),4,0.023809523809523808
15,Orange___Haunglongbing_(Citrus_greening),10,Corn_(maize)___healthy,4,0.007259528130671506
15,Orange___Haunglongbing_(Citrus_greening),19,"Pepper,_bell___healthy",4,0.007259528130671506
17,Peach___healthy,16,Peach___Bacterial_spot,3,0.08333333333333333
23,Raspberry___healthy,19,"Pepper,_bell___healthy",3,0.08108108108108109
23,Raspberry___healthy,27,Strawberry___healthy,3,0.08108108108108109
