class_index,class_name,display_name,precision,recall,f1_score,support,roc_auc_ovr
0,Apple___Apple_scab,Apple - Apple scab,1.0,0.9841269841269841,0.992,63,1.0
1,Apple___Black_rot,Apple - Black rot,1.0,1.0,1.0,62,1.0
2,Apple___Cedar_apple_rust,Apple - Cedar apple rust,1.0,1.0,1.0,27,1.0
3,Apple___healthy,Apple - healthy,0.9880239520958084,1.0,0.9939759036144579,165,0.9999930946379864
4,Blueberry___healthy,Blueberry - healthy,1.0,1.0,1.0,150,1.0
5,Cherry_(including_sour)___Powdery_mildew,Cherry (including sour) - Powdery mildew,1.0,0.9904761904761905,0.9952153110047847,105,1.0
6,Cherry_(including_sour)___healthy,Cherry (including sour) - healthy,1.0,0.9882352941176471,0.9940828402366864,85,0.9999735921304549
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn (maize) - Cercospora leaf spot Gray leaf spot,0.796875,1.0,0.8869565217391304,51,0.9998359938771046
8,Corn_(maize)___Common_rust_,Corn (maize) - Common rust ,1.0,0.9916666666666667,0.99581589958159,120,1.0
9,Corn_(maize)___Northern_Leaf_Blight,Corn (maize) - Northern Leaf Blight,1.0,0.8775510204081632,0.9347826086956522,98,0.9998124882805175
10,Corn_(maize)___healthy,Corn (maize) - healthy,1.0,1.0,1.0,116,1.0
11,Grape___Black_rot,Grape - Black rot,1.0,1.0,1.0,118,1.0
12,Grape___Esca_(Black_Measles),Grape - Esca (Black Measles),1.0,1.0,1.0,138,1.0
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape - Leaf blight (Isariopsis Leaf Spot),1.0,1.0,1.0,107,1.0
14,Grape___healthy,Grape - healthy,1.0,1.0,1.0,42,1.0
15,Orange___Haunglongbing_(Citrus_greening),Orange - Haunglongbing (Citrus greening),1.0,1.0,1.0,551,1.0
16,Peach___Bacterial_spot,Peach - Bacterial spot,1.0,1.0,1.0,230,1.0
17,Peach___healthy,Peach - healthy,0.972972972972973,1.0,0.9863013698630136,36,1.0
18,"Pepper,_bell___Bacterial_spot","Pepper, bell - Bacterial spot",1.0,1.0,1.0,100,1.0
19,"Pepper,_bell___healthy","Pepper, bell - healthy",0.9801324503311258,1.0,0.9899665551839465,148,1.0
20,Potato___Early_blight,Potato - Early blight,1.0,1.0,1.0,100,1.0
21,Potato___Late_blight,Potato - Late blight,1.0,0.97,0.9847715736040609,100,1.0
22,Potato___healthy,Potato - healthy,1.0,0.8,0.8888888888888888,15,0.9998892171344165
23,Raspberry___healthy,Raspberry - healthy,1.0,1.0,1.0,37,1.0
24,Soybean___healthy,Soybean - healthy,0.9941176470588236,0.9960707269155207,0.9950932286555446,509,0.9999892228389596
25,Squash___Powdery_mildew,Squash - Powdery mildew,1.0,1.0,1.0,184,1.0
26,Strawberry___Leaf_scorch,Strawberry - Leaf scorch,1.0,1.0,1.0,111,1.0
27,Strawberry___healthy,Strawberry - healthy,1.0,1.0,1.0,46,1.0
28,Tomato___Bacterial_spot,Tomato - Bacterial spot,1.0,1.0,1.0,213,1.0
29,Tomato___Early_blight,Tomato - Early blight,0.98989898989899,0.98,0.9849246231155779,100,0.9999906208966423
30,Tomato___Late_blight,Tomato - Late blight,0.979381443298969,0.9947643979057592,0.987012987012987,191,0.9999820151073099
31,Tomato___Leaf_Mold,Tomato - Leaf Mold,1.0,0.9789473684210527,0.9893617021276596,95,0.9999743549277992
32,Tomato___Septoria_leaf_spot,Tomato - Septoria leaf spot,0.9888268156424581,1.0,0.9943820224719101,177,0.9999827949219212
33,Tomato___Spider_mites Two-spotted_spider_mite,Tomato - Spider mites Two-spotted spider mite,1.0,0.9583333333333334,0.9787234042553191,168,0.9999841661916524
34,Tomato___Target_Spot,Tomato - Target Spot,0.9523809523809523,0.9929078014184397,0.9722222222222222,141,0.9999705050342543
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato - Tomato Yellow Leaf Curl Virus,1.0,0.9981343283582089,0.9990662931839402,536,1.0
36,Tomato___Tomato_mosaic_virus,Tomato - Tomato mosaic virus,1.0,0.9459459459459459,0.9722222222222222,37,1.0
37,Tomato___healthy,Tomato - healthy,0.9754601226993865,1.0,0.9875776397515528,159,1.0
