subset_index,image_path,true_index,true_class,predicted_index,predicted_class,confidence,correct,sample_type
0,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Apple___Black_rot\42277cf4-c76e-4c00-b42f-6254f2cb8496___JR_FrgE.S 2771.JPG,1,Apple___Black_rot,1,Apple___Black_rot,0.9999974966049194,True,correct
1,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Peach___healthy\e96a7083-0d41-4888-8f03-147729559c2e___Rutg._HL 3713.JPG,17,Peach___healthy,17,Peach___healthy,0.9999967813491821,True,correct
2,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Soybean___healthy\b213ccbe-d570-4a14-b444-11b63606569b___RS_HL 7170.JPG,24,Soybean___healthy,24,Soybean___healthy,0.9999650716781616,True,correct
3,"C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Pepper,_bell___healthy\0f56ffda-5d57-4a61-8f7f-37f22a02520a___JR_HL 8589.JPG",19,"Pepper,_bell___healthy",19,"Pepper,_bell___healthy",1.0,True,correct
4,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Tomato___Leaf_Mold\7107f26c-71de-4158-a361-068d5611d046___Crnl_L.Mold 6600.JPG,31,Tomato___Leaf_Mold,31,Tomato___Leaf_Mold,0.999996542930603,True,correct
5,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Tomato___Spider_mites Two-spotted_spider_mite\d6016818-1e71-4bb2-a10b-35ef305b5dfb___Com.G_SpM_FL 1396.JPG,33,Tomato___Spider_mites Two-spotted_spider_mite,33,Tomato___Spider_mites Two-spotted_spider_mite,0.9979057312011719,True,correct
134,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\a401fce7-28ad-4d2f-bf98-3ef87ae65ba5___RS_GLSp 4614.JPG,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,9,Corn_(maize)___Northern_Leaf_Blight,0.9555399417877197,False,error
412,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Potato___healthy\d340704d-cc00-4068-bb8a-ae70840b7bfa___RS_HL 1773.JPG,22,Potato___healthy,19,"Pepper,_bell___healthy",0.9998375177383423,False,error
692,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Tomato___Spider_mites Two-spotted_spider_mite\81b7c9e5-7041-4b93-b369-236093916a13___Com.G_SpM_FL 9440.JPG,33,Tomato___Spider_mites Two-spotted_spider_mite,34,Tomato___Target_Spot,0.7943953275680542,False,error
1029,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Corn_(maize)___Northern_Leaf_Blight\248e2b4f-4a50-460a-8ef4-cc8fe3c8bd12___RS_NLB 3872.JPG,9,Corn_(maize)___Northern_Leaf_Blight,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.523294985294342,False,error
1333,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Tomato___Bacterial_spot\0740bf94-09c3-4718-8375-6ceed7db97a3___GCREC_Bact.Sp 3628.JPG,28,Tomato___Bacterial_spot,32,Tomato___Septoria_leaf_spot,0.3701971471309662,False,error
1431,C:\Users\emire\Desktop\plant-disease-pytorch\data\raw\PlantVillage\val\Tomato___Spider_mites Two-spotted_spider_mite\200410b0-390d-406f-aa66-5573ec4d8e04___Com.G_SpM_FL 1214.JPG,33,Tomato___Spider_mites Two-spotted_spider_mite,31,Tomato___Leaf_Mold,0.725788414478302,False,error
