epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,train_eval_loss,train_eval_accuracy,train_eval_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,elapsed_seconds,peak_gpu_memory_mb
1,0.0001,0.28631803120329774,0.9277690820366449,0.9090307357403674,0.1784590526631004,0.95,0.9465329315232044,0.09512365274062692,0.9688766114180479,0.9556778876019548,308.8425317000001,1461.9462890625
2,0.0001,0.04125611813739457,0.9870868244176411,0.9819107619179569,0.1481956516441546,0.9473684210526315,0.9438066703859675,0.08269336280682249,0.9731123388581953,0.9563171822287605,275.4324326999995,1461.9462890625
3,0.0001,0.02855416085820924,0.9909538716508609,0.988291550181828,0.04726243097531168,0.9868421052631579,0.98671462274935,0.04559024218229738,0.9850828729281768,0.9788877719145307,287.344425700001,1461.9462890625
4,0.0001,0.02093872357831784,0.9928413589908848,0.9908005583934134,0.04138680226169526,0.9868421052631579,0.9868648138680568,0.04730261651864258,0.9860036832412523,0.982591811948973,288.8087690999964,1461.9462890625
5,0.0001,0.020528115882958345,0.9938081207991898,0.9918562477269373,0.029131783939603913,0.9921052631578947,0.9921659542968911,0.033569984300092934,0.9880294659300184,0.9840894505975214,295.3944100000008,1461.9462890625
6,0.0001,0.015824738372339456,0.9947288463309087,0.99261815997084,0.021471422283272996,0.9947368421052631,0.9947286009038591,0.023948583923088143,0.992633517495396,0.9914232338785292,284.57141689999844,1461.9462890625
7,0.0001,0.014511908561064345,0.9952812816499401,0.9937474252014706,0.06372349779856833,0.9763157894736842,0.9756096922852232,0.045749238248645206,0.9865561694290976,0.9804650569656509,347.87397860000056,1461.9462890625
8,0.0001,0.01199880181152767,0.9961099346284873,0.9945514744914101,0.04152675145060608,0.9868421052631579,0.9867790550852504,0.03741023391221511,0.9883977900552486,0.9838450649319476,307.261316300006,1461.9462890625
9,0.0001,0.011145834333499619,0.9964782248411749,0.9951309598078513,0.05322553233096474,0.9868421052631579,0.9866489612452721,0.03580420852585612,0.989134438305709,0.9863070608726625,285.9641944000032,1461.9462890625
10,5e-05,0.00755832109889452,0.9973989503728938,0.996065544971785,0.019929035086380806,0.9907894736842106,0.990763852602226,0.016095694762519108,0.9950276243093923,0.992400127647073,289.4031743000014,1461.9462890625
11,5e-05,0.004619364769305305,0.9985958935641285,0.998065586102469,0.01687481088661834,0.9907894736842106,0.9907589029317133,0.017163004774367007,0.9939226519337017,0.9906157868632139,425.2298331999991,1461.9462890625
12,5e-05,0.0052777603155434345,0.9983657121811987,0.9980637406352479,0.016834780730699238,0.9947368421052631,0.9947335505743721,0.02086570074114585,0.9937384898710866,0.9907279447922114,526.7617231999975,1461.9462890625
