epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,train_eval_loss,train_eval_accuracy,train_eval_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,elapsed_seconds,peak_gpu_memory_mb
1,0.0001,0.2344735766267175,0.9362857932050456,0.9168901674974159,0.17170044920946423,0.9513157894736842,0.9470125464330603,0.10714628100395203,0.9664825046040516,0.9416747420963653,297.73843099999795,574.19921875
2,0.0001,0.06097347664219516,0.9803194917595065,0.9730151953082352,0.06796507049155863,0.9776315789473684,0.9776493313446738,0.07285246023253072,0.9734806629834254,0.965727222779423,569.232371799997,574.19921875
3,0.0001,0.04774221471156597,0.9851072645244453,0.9796375915386956,0.10955769702007896,0.968421052631579,0.9689791328008337,0.10990840385309515,0.9668508287292817,0.9584263753826565,623.9236156999978,574.19921875
4,0.0001,0.04065539518122723,0.9863272258539729,0.9811024509222964,0.15532010111369585,0.9605263157894737,0.9612089598779857,0.14630491806410295,0.9554327808471454,0.9451483209883345,429.86674589999893,574.19921875
5,0.0001,0.0378180260956699,0.9874551146303286,0.9833853551512411,0.1031555933387656,0.9671052631578947,0.9665882648231812,0.04695439997436153,0.985451197053407,0.9766553179883087,311.9174959000011,574.19921875
6,0.0001,0.03331961349457511,0.9896648559064543,0.985634727974623,0.126097035878583,0.9618421052631579,0.9624122409159233,0.10463900807593189,0.9699815837937384,0.96403645600298,282.9464657999997,574.19921875
7,0.0001,0.0342171737205125,0.9892965656937667,0.9850166557222885,0.06858731555311304,0.9789473684210527,0.9786252070293217,0.06274967665559378,0.9797421731123389,0.975862606713655,244.47117530000105,574.19921875
8,0.0001,0.027918991765027785,0.9911840530337906,0.9880316156257625,0.03954913239730032,0.9894736842105263,0.9894373409047935,0.044060664637696895,0.9861878453038674,0.9825523504208211,240.26414510000177,574.19921875
9,0.0001,0.025924734438544598,0.9920587422889237,0.9892024617532024,0.06374286056349152,0.9736842105263158,0.9736549709907103,0.09275792067112404,0.9756906077348066,0.9697979816992099,287.6363782999979,574.19921875
10,0.0001,0.0270887257320728,0.9913912162784274,0.9886193558433689,0.058486016173724474,0.9736842105263158,0.9740450616844102,0.06134250049889225,0.9826887661141804,0.9794348090955552,306.14631100000406,574.19921875
11,0.0001,0.021394848101795948,0.9929564496823496,0.9907336678538429,0.09265653459649337,0.9736842105263158,0.9731167956123824,0.0691343273696512,0.9791896869244936,0.9715938118563933,294.636116200003,574.19921875
12,5e-05,0.009364132182109247,0.9968465150538625,0.9956538869808538,0.02819705119503564,0.9921052631578947,0.9919885536060115,0.02591512907943028,0.9924493554327809,0.9883391857129539,300.9458627000058,574.19921875
